	Acinonyx_jubatus__aciJub1_HiC.fasta_v2.functional.proteins	Ailurus_fulgens__ASM200746v1_HiC.fasta_v2.functional.proteins	Axis_porcinus__ASM379854v1_HiC.fasta_v2.functional.proteins	Balaenoptera_edeni__Balaenoptera_edeni_HiC.fasta_v2.functional.proteins	Bassariscus_sumichrasti__Bassariscus_sumichrasti_HiC.fasta_v2.functional.proteins	Bison_bison__Bison_UMD1.0_HiC.fasta_v2.functional.proteins	Camelus_dromedarius__PRJNA234474_Ca_dromedarius_V1.0_HiC.fasta_v2.functional.proteins	Canis_lupus_dingo__ASM325472v1_HiC.fasta_v2.functional.proteins	Canis_lupus_familiaris__canFamDis_HiC.fasta_v2.functional.proteins	Castor_canadensis__C.can_genome_v1.0_HiC.fasta_v2.functional.proteins	Cavia_porcellus__Cavpor3.0_HiC.fasta_v2.functional.proteins	Cebuella_pygmaea__Cebuella_pygmaea_HiC.fasta_v2.functional.proteins	Ceratotherium_simum__CerSimSim1.0_HiC.fasta_v2.functional.proteins	Chinchilla_x__ChiLan1.0_HiC.fasta_v2.functional.proteins	Choloepus_hoffmanni__C_hoffmanni-2.0.1_HiC.fasta_v2.functional.proteins	Coendou_prehensilis__Coendou_prehensilis_HiC.fasta_v2.functional.proteins	Connochaetes_taurinus__BWD_HiC.fasta_v2.functional.proteins	Cricetulus_griseus__CriGri-PICR_HiC.fasta_v2.functional.proteins	Crocuta_crocuta__Crocuta_crocuta_HiC.fasta_v2.functional.proteins	Cryptoprocta_ferox__Cryptoprocta_ferox_HiC.fasta_v2.functional.proteins	Delphinapterus_leucas__ASM228892v2_HiC.fasta_v2.functional.proteins	Didelphis_virginiana__dv-2k.fasta_v2.functional.proteins	Eidolon_helvum__ASM46528v1_HiC.fasta_v2.functional.proteins	Elephas_maximus__Elephas_maximus_HiC.fasta_v2.functional.proteins	Enhydra_lutris__ASM228890v2_HiC.fasta_v2.functional.proteins	Equus_asinus__ASM303372v1_HiC.fasta_v2.functional.proteins	Erethizon_dorsatum__GSC_porc_1.0_HiC.fasta_v2.functional.proteins	Eubalaena_glacialis__Eubalaena_glacialis_HiC.fasta_v2.functional.proteins	Eulemur_flavifrons__Eflavifronsk33QCA_HiC.fasta_v2.functional.proteins	Fukomys_damarensis__DMR_v1.0_HiC.fasta_v2.functional.proteins	Giraffa_camelopardalis__ASM165123v1_HiC.fasta_v2.functional.proteins	Globicephala_melas__ASM654740v1_HiC.fasta_v2.functional.proteins	Hippotragus_niger__Sable_antelope_Masurca.scf_HiC.fasta_v2.functional.proteins	Lagenorhynchus_obliquidens__ASM367639v1_HiC.fasta_v2.functional.proteins	Lama_glama__Lama_glama_HiC.fasta_v2.functional.proteins	Litocranius_walleri__GRK_HiC.fasta_v2.functional.proteins	Lutra_lutra__mLutLut1_HiC.fasta_v2.functional.proteins	Lycaon_pictus__sis2-181106_HiC.fasta_v2.functional.proteins	Macropus_eugenii__me-1k.fasta_v2.functional.proteins	Macropus_fuliginosus__mf-2k.fasta_v2.functional.proteins	Macropus_giganteus__mg-2k.fasta_v2.functional.proteins	Macropus_rufus__mr-2k.fasta_v2.functional.proteins	Mandrillus_sphinx__BGI_mandrill_1.0_HiC.fasta_v2.functional.proteins	Mesocricetus_auratus__MesAur1.0_HiC.fasta_v2.functional.proteins	Microcebus_murinus__Mmur_3.0_HiC.fasta_v2.functional.proteins	Mirounga_angustirostris__Mirounga_angustirostris_HiC.fasta_v2.functional.proteins	Monodelphis_domestica__MonDom5_HiC.fasta_v2.functional.proteins	Muntiacus_reevesi__CIJ_HiC.fasta_v2.functional.proteins	Mustela_putorius_furo__MusPutFur1.0_HiC.fasta_v2.functional.proteins	Myotis_lucifugus__Myoluc2.0_HiC.fasta_v2.functional.proteins	Nasua_narica__Nasua_narica_HiC.fasta_v2.functional.proteins	Neofelis_nebulosa__Neofelis_nebulosa_HiC.fasta_v2.functional.proteins	Odobenus_rosmarus__Oros_1.0_HiC.fasta_v2.functional.proteins	Odocoileus_virginianus__Ovir.te_1.0_HiC.fasta_v2.functional.proteins	Okapia_johnstoni__ASM166083v1_HiC.fasta_v2.functional.proteins	Orcinus_orca__Oorc_1.1_HiC.fasta_v2.functional.proteins	Orycteropus_afer__OryAfe1.0_HiC.fasta_v2.functional.proteins	Oryctolagus_cuniculus__OryCun2.0_HiC.fasta_v2.functional.proteins	Oryx_dammah__oryx.1_HiC.fasta_v2.functional.proteins	Panthera_onca__Panthera_onca_HiC.fasta_v2.functional.proteins	Panthera_pardus__PanPar1.0_HiC.fasta_v2.functional.proteins	Panthera_tigris__PanTig1.0_HiC.fasta_v2.functional.proteins	Peponocephala_electra__Peponocephala_electra_HiC.fasta_v2.functional.proteins	Peromyscus_crinitus__pecr10X_v2_HiC.fasta_v2.functional.proteins	Peromyscus_nasutus__Peromyscus_nasutus_10x_v1_HiC.fasta_v2.functional.proteins	Phalanger_gymnotis__pg-2k.fasta_v2.functional.proteins	Phoca_vitulina__GSC_HSeal_1.0_HiC.fasta_v2.functional.proteins	Phocoena_phocoena__Phocoena_phocoena_HiC.fasta_v2.functional.proteins	Potos_flavus__Potos_flavus_HiC.fasta_v2.functional.proteins	Procavia_capensis__Pcap_2.0_HiC.fasta_v2.functional.proteins	Procyon_lotor__pl-1k.fasta_v2.functional.proteins	Propithecus_coquereli__Pcoq_1.0_HiC.fasta_v2.functional.proteins	Pseudocheirus_occidentalis__Pseudocheirus_occidentalis_HiC.fasta_v2.functional.proteins	Pseudochirops_corinnae__Pseudochirops_corinnae_HiC.fasta_v2.functional.proteins	Pseudochirops_cupreus__Pseudochirops_cupreus_HiC.fasta_v2.functional.proteins	Pteropus_rufus__Pteropus_rufus_HiC.fasta_v2.functional.proteins	Pteropus_vampyrus__Pvam_2.0_HiC.fasta_v2.functional.proteins	Puma_concolor__PumCon1.0_HiC.fasta_v2.functional.proteins	Saimiri_boliviensis__saiBolDis_HiC.fasta_v2.functional.proteins	Struthio_camelus__ASM69896v1_HiC.fasta_v2.functional.proteins	Suricata_suricatta__meerkat_22Aug2017_6uvM2_HiC.fasta_v2.functional.proteins	Tapirus_indicus__Tapirus_indicus_HiC.fasta_v2.functional.proteins	Trichechus_manatus__TriManLat1.0_HiC.fasta_v2.functional.proteins	Tursiops_aduncus__ASM322739v1_HiC.fasta_v2.functional.proteins	Tursiops_truncatus__NIST_Tur_tru_v1_HiC.fasta_v2.functional.proteins	Ursus_americanus__ASM334442v1_HiC.fasta_v2.functional.proteins	Ursus_arctos__ASM358476v1_HiC.fasta_v2.functional.proteins	Ursus_maritimus__UrsMar_1.0_HiC.fasta_v2.functional.proteins	Vicugna_pacos__Vicugna_pacos-2.0.1_HiC.fasta_v2.functional.proteins	Vombatus_ursinus__vu-2k.fasta_v2.functional.proteins	Vulpes_vulpes__VulVul2.2_HiC.fasta_v2.functional.proteins
Acinonyx_jubatus__aciJub1_HiC.fasta_v2.functional.proteins	18663	14674	14415	14366	14589	14330	13937	14684	14742	14150	13952	14373	14520	13861	14507	13424	14398	14196	14937	15132	14270	13061	13422	14341	13206	14394	13678	13531	14271	13977	14327	13914	13227	14190	14256	14417	14681	14505	13112	13049	13161	13105	14512	13763	14403	14676	12898	14323	14013	13731	14512	16631	14792	14440	12607	14282	14228	13530	14466	16414	15703	16642	14258	14041	14012	13163	14830	14095	14642	13416	14443	14347	13046	13077	13127	14104	14186	16352	14283	10272	14824	13824	14289	14241	13126	14774	14757	14677	14237	13151	14729
Ailurus_fulgens__ASM200746v1_HiC.fasta_v2.functional.proteins	14674	17814	15254	15171	15741	14936	14545	15674	15640	14898	14645	15157	15334	14572	15270	14171	15184	14962	15396	15544	15072	13738	13752	15059	14344	15232	14427	14302	15083	14563	15195	14673	13981	15025	15033	15219	15856	15311	13770	13700	13824	13761	15262	14516	15203	15911	13507	15071	15110	14290	15623	15562	15985	15211	13275	15054	14965	14051	15293	15385	14803	14882	15005	14727	14739	13821	16020	14918	15825	14059	15447	15113	13681	13726	13799	14942	14925	14886	15002	10562	15276	14639	15023	15022	13703	15899	15994	15497	14926	13800	15583
Axis_porcinus__ASM379854v1_HiC.fasta_v2.functional.proteins	14415	15254	18841	15476	15314	16000	14646	15452	15432	15075	14754	15311	15432	14629	15375	14305	16288	15111	15269	15439	15393	13841	13764	15219	13920	15367	14559	14624	15247	14598	16298	14980	15012	15328	15271	16313	15412	15018	13881	13824	13958	13874	15378	14648	15408	15429	13627	16795	14648	14278	15213	15451	15498	16939	14205	15379	15095	14127	16443	15263	14673	14597	15318	14859	14858	13952	15514	15222	15375	14186	15024	15270	13780	13869	13913	15052	14989	14663	15136	10611	15135	14775	15174	15330	13889	15468	15536	14904	15008	13906	15329
Balaenoptera_edeni__Balaenoptera_edeni_HiC.fasta_v2.functional.proteins	14366	15171	15476	19018	15494	15101	14558	15319	15351	15021	14604	15296	15339	14557	15320	14203	15351	14994	15333	15410	16725	13772	13768	15165	13823	15292	14441	16433	15139	14448	15370	16207	14158	16473	15309	15408	15395	14956	13811	13768	13885	13811	15358	14540	15279	15382	13548	15173	14620	14200	15207	15443	15506	15487	13570	16612	14999	14004	15623	15273	14599	14551	16826	14765	14763	13898	15520	16466	15347	14117	15084	15258	13730	13816	13832	14949	14865	14580	15168	10594	15086	14894	15159	16615	14903	15372	15453	14824	14927	13811	15229
Bassariscus_sumichrasti__Bassariscus_sumichrasti_HiC.fasta_v2.functional.proteins	14589	15741	15314	15494	18423	14970	14494	15670	15743	15026	14693	15315	15346	14570	15336	14251	15203	15039	15648	15672	15194	13861	13806	15234	14359	15306	14512	14598	15172	14484	15254	14785	14022	15117	15205	15291	16044	15327	13889	13822	13946	13885	15352	14602	15314	15936	13601	15077	15081	14279	16012	15696	16065	15309	13395	15185	15064	14078	15490	15536	14841	14770	15325	14842	14832	13992	16119	15182	16156	14179	16191	15240	13834	13883	13907	15038	14970	14859	15190	10567	15327	14898	15138	15148	13763	15913	16031	15303	14866	13888	15587
Bison_bison__Bison_UMD1.0_HiC.fasta_v2.functional.proteins	14330	14936	16000	15101	14970	18421	14422	15057	15076	14726	14449	14936	15054	14370	15054	13934	16036	14704	14915	15032	15005	13538	13657	14862	13570	15002	14205	14230	14828	14364	15840	14609	14797	14902	14920	16020	15062	14782	13609	13557	13668	13578	15082	14280	15020	15001	13355	15792	14334	14087	14842	15087	15121	16037	13915	14988	14759	13885	16247	14920	14285	14500	14951	14521	14496	13683	15147	14816	15032	13900	14745	14900	13505	13570	13606	14662	14696	14403	14833	10487	14852	14386	14802	14960	13627	15107	15137	14754	14793	13645	15041
Camelus_dromedarius__PRJNA234474_Ca_dromedarius_V1.0_HiC.fasta_v2.functional.proteins	13937	14545	14646	14558	14494	14422	16698	14631	14612	14280	14073	14447	14659	13965	14583	13580	14594	14304	14498	14586	14457	13122	13268	14434	13114	14534	13779	13740	14476	14007	14574	14383	13427	14453	15432	14591	14589	14334	13179	13105	13241	13170	14572	13895	14561	14605	12938	14512	14216	13686	14383	14622	14641	14595	12729	14484	14296	13438	14665	14452	13894	14120	14438	14111	14095	13237	14671	14357	14556	13470	14285	14449	13068	13143	13189	14325	14302	14001	14322	10218	14430	13982	14408	14422	13110	14665	14724	14387	15513	13203	14595
Canis_lupus_dingo__ASM325472v1_HiC.fasta_v2.functional.proteins	14684	15674	15452	15319	15670	15057	14631	20202	19275	15104	14810	15365	15465	14676	15474	14327	15330	15171	15559	15701	15240	13877	13810	15246	14231	15418	14591	14456	15273	14632	15379	14862	14133	15199	15251	15397	15803	18050	13916	13834	13979	13900	15454	14696	15451	15886	13646	15205	14981	14344	15566	15742	15997	15389	13459	15218	15113	14192	15495	15567	14976	14856	15202	14903	14915	13975	16010	15118	15733	14203	15447	15299	13826	13866	13933	15135	15053	14939	15250	10616	15375	14793	15172	15196	13811	15882	15991	15323	15000	13927	17480
Canis_lupus_familiaris__canFamDis_HiC.fasta_v2.functional.proteins	14742	15640	15432	15351	15743	15076	14612	19275	20270	15150	14801	15427	15460	14695	15476	14340	15330	15191	15669	15736	15298	13894	13868	15298	14211	15411	14630	14476	15282	14634	15353	14885	14133	15195	15290	15407	15841	18173	13968	13888	14029	13939	15500	14710	15456	15875	13678	15194	15030	14387	15630	15813	16055	15418	13483	15275	15124	14179	15523	15659	14958	14921	15228	14945	14968	14025	16095	15095	15833	14236	15536	15358	13887	13921	13979	15129	15038	14945	15320	10626	15435	14799	15233	15228	13839	15871	15968	15302	14989	13956	17559
Castor_canadensis__C.can_genome_v1.0_HiC.fasta_v2.functional.proteins	14150	14898	15075	15021	15026	14726	14280	15104	15150	17277	14691	15135	15011	14551	15247	14222	14974	15027	15008	15131	14913	13748	13605	15061	13607	14969	14467	14107	14964	14485	15002	14520	13788	14819	14954	15040	15106	14712	13829	13717	13840	13790	15190	14607	15115	15048	13544	14828	14317	14023	14924	15114	15157	15061	13168	14897	14926	13971	15130	14978	14347	14305	14884	14823	14821	13893	15171	14735	15071	14063	14849	15109	13725	13807	13842	14747	14705	14314	14978	10484	14892	14420	14994	14877	13496	15115	15169	14571	14654	13808	14998
Cavia_porcellus__Cavpor3.0_HiC.fasta_v2.functional.proteins	13952	14645	14754	14604	14693	14449	14073	14810	14801	14691	16553	14712	14741	14606	14892	14279	14698	14710	14677	14777	14568	13607	13352	14695	13327	14652	14483	13794	14686	14551	14685	14207	13518	14546	14560	14741	14781	14474	13636	13554	13678	13620	14809	14287	14821	14742	13399	14567	14081	13846	14580	14814	14808	14730	12877	14561	14611	13739	14765	14664	14067	14101	14514	14519	14489	13689	14833	14449	14703	13840	14468	14712	13548	13604	13678	14488	14443	14127	14619	10486	14595	14087	14684	14533	13231	14785	14826	14338	14392	13643	14705
